ARTIST,MBID,URL,IMAGE_SMALL,IMAGE
Bobby Pulido,f2d25c16-403e-4dee-87bf-5e8337c84844,https://www.last.fm/music/Bobby+Pulido,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Bobby ""Boris"" Pickett",58dd5fa6-6eed-432a-90a5-6df1ae8d2b8d,https://www.last.fm/music/Bobby+%22Boris%22+Pickett,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby V,de69e711-bc6b-49b2-a826-92006936ada4,https://www.last.fm/music/Bobby+V,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby V.,,https://www.last.fm/music/Bobby+V.,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Krlic,,https://www.last.fm/music/Bobby+Krlic,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Byrd,ed3af6a3-1db0-48e3-bb39-2730b22cf8d9,https://www.last.fm/music/Bobby+Byrd,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Oroza,,https://www.last.fm/music/Bobby+Oroza,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Creekwater,fd381a2c-f9e5-4138-815b-24486d3888cc,https://www.last.fm/music/Bobby+Creekwater,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Charles,c886358c-ea7b-4d82-babd-c5bb5e887313,https://www.last.fm/music/Bobby+Charles,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Goldsboro,a85c70af-90e4-4a7c-83b1-e1bd567d7d2f,https://www.last.fm/music/Bobby+Goldsboro,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
